TIME,NODEUUID,BLEUUID,RSSI,PACKETID
14:47:0,123:231:213:90:88:12,234:210:11:40:111:36,73,5:2:12:4:5:6:42:88
14:47:48,123:231:213:90:88:12,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
14:48:50,123:231:213:90:88:12,234:210:11:40:111:36,84,5:2:12:4:5:6:42:88
14:51:39,123:231:213:90:88:12,234:210:11:40:111:36,87,5:2:12:4:5:6:42:88
14:53:39,123:231:213:90:88:12,234:210:11:40:111:36,87,5:2:12:4:5:6:42:88
14:54:35,123:231:213:90:88:12,234:210:11:40:111:36,84,5:2:12:4:5:6:42:88
14:55:34,123:231:213:90:88:12,160:54:254:63:56:55,176,5:2:12:4:5:6:42:88
14:57:32,123:231:213:90:88:12,234:210:11:40:111:36,87,5:2:12:4:5:6:42:88
14:59:28,123:231:213:90:88:12,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
15:0:29,123:231:213:90:88:12,234:210:11:40:111:36,86,5:2:12:4:5:6:42:88
15:1:25,123:231:213:90:88:12,234:210:11:40:111:36,73,5:2:12:4:5:6:42:88
15:3:22,123:231:213:90:88:12,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
15:4:33,123:231:213:90:88:12,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
15:5:25,123:231:213:90:88:12,234:210:11:40:111:36,87,5:2:12:4:5:6:42:88
15:6:21,123:231:213:90:88:12,234:210:11:40:111:36,73,5:2:12:4:5:6:42:88
15:7:21,123:231:213:90:88:12,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
15:8:23,123:231:213:90:88:12,234:210:11:40:111:36,87,5:2:12:4:5:6:42:88
15:9:25,123:231:213:90:88:12,234:210:11:40:111:36,73,5:2:12:4:5:6:42:88
15:10:20,123:231:213:90:88:12,234:210:11:40:111:36,86,5:2:12:4:5:6:42:88
15:11:21,123:231:213:90:88:12,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
15:13:12,123:231:213:90:88:12,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
15:14:1,123:231:213:90:88:12,234:210:11:40:111:36,86,5:2:12:4:5:6:42:88
15:14:51,123:231:213:90:88:12,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
