TIME,NODEUUID,BLEUUID,RSSI,PACKETID
22:7:39,123:231:213:90:88:11,125:182:238:69:148:123,65,5:2:12:4:5:6:42:88
22:7:39,123:231:213:90:88:11,125:182:238:69:148:123,65,5:2:12:4:5:6:42:88
22:7:39,123:231:213:90:88:11,125:182:238:69:148:123,63,5:2:12:4:5:6:42:88
22:7:39,123:231:213:90:88:11,125:182:238:69:148:123,67,5:2:12:4:5:6:42:88
22:7:39,123:231:213:90:88:11,125:182:238:69:148:123,64,5:2:12:4:5:6:42:88
22:7:39,123:231:213:90:88:11,125:182:238:69:148:123,73,5:2:12:4:5:6:42:88
22:7:39,123:231:213:90:88:11,125:182:238:69:148:123,63,5:2:12:4:5:6:42:88
22:7:39,123:231:213:90:88:11,125:182:238:69:148:123,74,5:2:12:4:5:6:42:88
22:7:39,123:231:213:90:88:11,125:182:238:69:148:123,63,5:2:12:4:5:6:42:88
22:7:39,123:231:213:90:88:11,125:182:238:69:148:123,61,5:2:12:4:5:6:42:88
22:7:39,123:231:213:90:88:11,125:182:238:69:148:123,60,5:2:12:4:5:6:42:88
22:7:39,123:231:213:90:88:11,125:182:238:69:148:123,59,5:2:12:4:5:6:42:88
22:7:40,123:231:213:90:88:11,125:182:238:69:148:123,57,5:2:12:4:5:6:42:88
22:7:40,123:231:213:90:88:11,125:182:238:69:148:123,60,5:2:12:4:5:6:42:88
22:7:40,123:231:213:90:88:11,125:182:238:69:148:123,58,5:2:12:4:5:6:42:88
22:7:40,123:231:213:90:88:11,125:182:238:69:148:123,60,5:2:12:4:5:6:42:88
22:7:40,123:231:213:90:88:11,125:182:238:69:148:123,60,5:2:12:4:5:6:42:88
22:7:40,123:231:213:90:88:11,125:182:238:69:148:123,60,5:2:12:4:5:6:42:88
22:7:40,123:231:213:90:88:11,125:182:238:69:148:123,56,5:2:12:4:5:6:42:88
22:7:40,123:231:213:90:88:11,125:182:238:69:148:123,60,5:2:12:4:5:6:42:88
22:7:40,123:231:213:90:88:11,125:182:238:69:148:123,57,5:2:12:4:5:6:42:88
22:7:40,123:231:213:90:88:11,125:182:238:69:148:123,61,5:2:12:4:5:6:42:88
22:7:40,123:231:213:90:88:11,125:182:238:69:148:123,59,5:2:12:4:5:6:42:88
22:7:41,123:231:213:90:88:11,125:182:238:69:148:123,59,5:2:12:4:5:6:42:88
22:20:2,123:231:213:90:88:11,125:182:238:69:148:123,68,5:2:12:4:5:6:42:88
22:20:2,123:231:213:90:88:11,125:182:238:69:148:123,70,5:2:12:4:5:6:42:88
22:20:2,123:231:213:90:88:11,125:182:238:69:148:123,69,5:2:12:4:5:6:42:88
22:20:2,123:231:213:90:88:11,125:182:238:69:148:123,72,5:2:12:4:5:6:42:88
22:20:2,123:231:213:90:88:11,125:182:238:69:148:123,66,5:2:12:4:5:6:42:88
22:20:2,123:231:213:90:88:11,125:182:238:69:148:123,73,5:2:12:4:5:6:42:88
22:20:2,123:231:213:90:88:11,125:182:238:69:148:123,70,5:2:12:4:5:6:42:88
22:20:3,123:231:213:90:88:11,125:182:238:69:148:123,64,5:2:12:4:5:6:42:88
22:20:3,123:231:213:90:88:11,125:182:238:69:148:123,72,5:2:12:4:5:6:42:88
22:20:3,123:231:213:90:88:11,125:182:238:69:148:123,73,5:2:12:4:5:6:42:88
22:20:3,123:231:213:90:88:11,125:182:238:69:148:123,69,5:2:12:4:5:6:42:88
22:20:3,123:231:213:90:88:11,125:182:238:69:148:123,65,5:2:12:4:5:6:42:88
22:20:3,123:231:213:90:88:11,125:182:238:69:148:123,72,5:2:12:4:5:6:42:88
22:20:3,123:231:213:90:88:11,125:182:238:69:148:123,68,5:2:12:4:5:6:42:88
22:20:3,123:231:213:90:88:11,125:182:238:69:148:123,68,5:2:12:4:5:6:42:88
22:20:3,123:231:213:90:88:11,125:182:238:69:148:123,66,5:2:12:4:5:6:42:88
22:20:3,123:231:213:90:88:11,125:182:238:69:148:123,63,5:2:12:4:5:6:42:88
22:20:3,123:231:213:90:88:11,125:182:238:69:148:123,59,5:2:12:4:5:6:42:88
22:20:3,123:231:213:90:88:11,125:182:238:69:148:123,59,5:2:12:4:5:6:42:88
22:20:4,123:231:213:90:88:11,125:182:238:69:148:123,61,5:2:12:4:5:6:42:88
22:20:4,123:231:213:90:88:11,125:182:238:69:148:123,63,5:2:12:4:5:6:42:88
22:20:4,123:231:213:90:88:11,125:182:238:69:148:123,61,5:2:12:4:5:6:42:88
22:20:4,123:231:213:90:88:11,125:182:238:69:148:123,62,5:2:12:4:5:6:42:88
22:20:4,123:231:213:90:88:11,125:182:238:69:148:123,64,5:2:12:4:5:6:42:88
