TIME,NODEUUID,BLEUUID,RSSI,PACKETID
13:25:32,123:231:213:90:88:11,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
13:26:25,123:231:213:90:88:11,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
13:27:4,123:231:213:90:88:11,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
13:27:59,123:231:213:90:88:11,234:210:11:40:111:36,77,5:2:12:4:5:6:42:88
13:28:41,123:231:213:90:88:11,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
13:29:31,123:231:213:90:88:11,234:210:11:40:111:36,88,5:2:12:4:5:6:42:88
13:30:20,123:231:213:90:88:11,234:210:11:40:111:36,84,5:2:12:4:5:6:42:88
13:31:10,123:231:213:90:88:11,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
13:31:54,123:231:213:90:88:11,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
13:32:43,123:231:213:90:88:11,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
13:33:38,123:231:213:90:88:11,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
13:34:21,123:231:213:90:88:11,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
13:35:10,123:231:213:90:88:11,234:210:11:40:111:36,76,5:2:12:4:5:6:42:88
13:36:40,123:231:213:90:88:11,234:210:11:40:111:36,77,5:2:12:4:5:6:42:88
13:36:43,123:231:213:90:88:11,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
13:37:33,123:231:213:90:88:11,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
13:38:23,123:231:213:90:88:11,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
13:39:8,123:231:213:90:88:11,234:210:11:40:111:36,85,5:2:12:4:5:6:42:88
13:39:57,123:231:213:90:88:11,234:210:11:40:111:36,74,5:2:12:4:5:6:42:88
13:40:47,123:231:213:90:88:11,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
13:41:32,123:231:213:90:88:11,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
13:42:20,123:231:213:90:88:11,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
13:43:10,123:231:213:90:88:11,234:210:11:40:111:36,83,5:2:12:4:5:6:42:88
13:43:58,123:231:213:90:88:11,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
13:44:48,123:231:213:90:88:11,234:210:11:40:111:36,77,5:2:12:4:5:6:42:88
13:45:37,123:231:213:90:88:11,234:210:11:40:111:36,88,5:2:12:4:5:6:42:88
13:46:26,123:231:213:90:88:11,234:210:11:40:111:36,90,5:2:12:4:5:6:42:88
